id_proposicao,uri,nome,codTipo,tipo,ordemAssinatura,proponente
2311331,https://dadosabertos.camara.leg.br/api/v2/deputados/160512,Aureo Ribeiro,10000,Deputado(a),1,1
597587,https://dadosabertos.camara.leg.br/api/v2/deputados/160655,Ricardo Izar,10000,Deputado(a),1,1
493361,https://dadosabertos.camara.leg.br/api/v2/deputados/122158,Pedro Paulo,10000,Deputado(a),1,1
303153,https://dadosabertos.camara.leg.br/api/v2/deputados/74275,José Mentor,10000,Deputado(a),1,1
996806,https://dadosabertos.camara.leg.br/api/v2/deputados/178876,Célio Silveira,10000,Deputado(a),1,1
587207,https://dadosabertos.camara.leg.br/api/v2/deputados/151208,Laercio Oliveira,10000,Deputado(a),1,1
2053152,https://dadosabertos.camara.leg.br/api/v2/deputados/74283,Vicentinho,10000,Deputado(a),1,1
2312667,https://dadosabertos.camara.leg.br/api/v2/deputados/160512,Aureo Ribeiro,10000,Deputado(a),1,1
2311740,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,10000,Deputado(a),2,1
2311740,https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,10000,Deputado(a),1,1
2313778,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2311467,https://dadosabertos.camara.leg.br/api/v2/deputados/116379,Darci de Matos,10000,Deputado(a),1,1
2313775,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2313779,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2312047,https://dadosabertos.camara.leg.br/api/v2/deputados/204454,Daniel Silveira,10000,Deputado(a),1,1
2313776,https://dadosabertos.camara.leg.br/api/v2/orgaos/253,Poder Executivo,30000,Órgão do Poder Executivo,1,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/160511,Alessandro Molon,10000,Deputado(a),23,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/178927,Aliel Machado,10000,Deputado(a),26,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,Bira do Pindaré,10000,Deputado(a),13,0
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204352,Camilo Capiberibe,10000,Deputado(a),8,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204499,Cássio Andrade,10000,Deputado(a),5,0
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/160528,Danilo Cabral,10000,Deputado(a),1,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204542,Denis Bezerra,10000,Deputado(a),6,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204389,Elias Vaz,10000,Deputado(a),22,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,Felipe Carreras,10000,Deputado(a),14,1
2313780,https://dadosabertos.camara.leg.br/api/v2/deputados/204394,Gervásio Maia,10000,Deputado(a),17,0
