orientacaoVoto,codTipoLideranca,siglaPartidoBloco,codPartidoBloco,id_votacao
Não,B,Fdr PSOL-REDE,,2363415-6
Não,P,PSB,36832.0,2363415-6
Sim,P,REPUBLICANOS,37908.0,2363415-6
Sim,P,PATRIOTA,37907.0,2363415-6
Sim,B,Minoria,,2363415-6
Sim,,Fdr PSDB-CIDADAN,,2363415-6
Sim,B,Oposição,,2363415-6
Sim,P,UNIÃO,38009.0,2363415-6
Não,P,NOVO,37901.0,2351858-41
Não,P,PL,37906.0,2351858-41
Sim,B,Fdr PSOL-REDE,,2351858-41
Não,B,Oposição,,2351858-41
Não,P,UNIÃO,38009.0,2351858-41
Sim,B,Fdr PT-PCdoB-PV,,2351858-41
Sim,B,Governo,,2351858-41
Não,P,REPUBLICANOS,37908.0,2351965-34
Não,P,PSD,36834.0,2351965-34
Sim,P,NOVO,37901.0,2351965-34
Não,P,UNIÃO,38009.0,2351965-34
Liberado,P,PL,37906.0,2351990-37
Sim,B,Maioria,,2351990-37
Sim,B,Governo,,2351990-37
Sim,B,Fdr PSOL-REDE,,2351990-37
,B,Oposição,,2351990-37
Sim,P,NOVO,37901.0,2351990-37
Sim,B,Fdr PT-PCdoB-PV,,2351990-37
Sim,B,Bl UniPpFdrPsdbCid...,,2351990-37
,B,Minoria,,2351990-37
Sim,B,Bl MdbPsdRepPodePsc,,2351990-37
Sim,B,Fdr PT-PCdoB-PV,,2352341-58
Não,P,PODE,36896.0,2352341-58
Não,P,NOVO,37901.0,2352341-58
Não,P,UNIÃO,38009.0,2352341-58
Sim,B,Maioria,,2352341-58
Não,P,PP,37903.0,2352341-58
Não,B,Minoria,,2352341-58
Sim,P,PSD,36834.0,2352341-58
Não,,Fdr PSDB-CIDADAN,,2352341-58
Não,P,REPUBLICANOS,37908.0,2352341-58
Não,B,Oposição,,2352341-58
Não,P,MDB,36899.0,2352341-58
Não,P,PL,37906.0,2352341-58
Sim,B,Governo,,2352341-58
Sim,P,PSB,36832.0,2352341-58
Sim,B,Maioria,,2354502-8
Sim,B,Minoria,,2354502-8
Sim,P,PL,37906.0,2354502-8
Não,P,NOVO,37901.0,2354502-8
Sim,B,Bl MdbPsdRepPodePsc,,2354502-8
Sim,B,Fdr PT-PCdoB-PV,,2354502-8
Liberado,B,Bl UniPpFdrPsdbCid...,,2354502-8
Sim,B,Governo,,2354502-8
Sim,B,Oposição,,2354502-8
Não,B,Fdr PSOL-REDE,,2354502-8
Sim,P,PP,37903.0,2352341-61
Sim,P,PL,37906.0,2352341-61
Sim,P,PSD,36834.0,2352341-61
Sim,B,Oposição,,2352341-61
Não,B,Fdr PT-PCdoB-PV,,2352341-61
Não,B,Maioria,,2352341-61
Sim,,Fdr PSDB-CIDADAN,,2352341-61
Não,B,Fdr PSOL-REDE,,2352341-61
Sim,P,PODE,36896.0,2352341-61
Sim,B,Minoria,,2352341-61
Sim,P,REPUBLICANOS,37908.0,2352341-61
Sim,P,UNIÃO,38009.0,2352341-61
Não,B,Governo,,2352341-61
Sim,P,MDB,36899.0,2352341-61
Não,P,PSB,36832.0,2352341-61
Sim,B,Fdr PSOL-REDE,,2352341-33
Sim,B,Maioria,,2352341-33
Não,P,PL,37906.0,2352341-33
Não,P,MDB,36899.0,2352341-33
Sim,P,AVANTE,36898.0,2352341-33
Sim,B,Governo,,2352341-33
Não,P,PP,37903.0,2352341-33
Sim,B,Fdr PT-PCdoB-PV,,2352341-33
Não,B,Oposição,,2352341-33
Não,P,UNIÃO,38009.0,2352341-33
Não,P,NOVO,37901.0,2352341-44
Sim,P,PSD,36834.0,2352341-44
Não,P,UNIÃO,38009.0,2352341-44
Não,P,PL,37906.0,2352341-44
Sim,P,PATRIOTA,37907.0,2352341-44
Sim,B,Fdr PT-PCdoB-PV,,2352341-44
Não,P,PODE,36896.0,2352341-44
Não,P,MDB,36899.0,2352341-44
Não,B,Minoria,,2352341-44
Sim,P,PSB,36832.0,2352341-44
Sim,B,Governo,,2352341-44
Sim,B,Fdr PSOL-REDE,,2352341-44
Sim,B,Fdr PT-PCdoB-PV,,2352476-168
Não,B,Fdr PSOL-REDE,,2352476-168
Sim,P,PSB,36832.0,2352476-168
Sim,P,PL,37906.0,2352476-168
,B,Oposição,,2352476-168
Não,P,NOVO,37901.0,2352476-168
,B,Governo,,2352476-168
Sim,B,Bl UniPpFdrPsdbCid...,,2352476-168
Sim,B,Bl MdbPsdRepPode,,2352476-168
Não,B,Minoria,,2352476-168
,B,Maioria,,2352476-168
,B,Governo,,2352476-146
,B,Oposição,,2352476-146
Não,P,PL,37906.0,2352476-146
Não,B,Maioria,,2352476-146
,B,Minoria,,2352476-146
Sim,P,NOVO,37901.0,2352476-146
Não,B,Bl MdbPsdRepPode,,2352476-146
Não,B,Fdr PT-PCdoB-PV,,2352476-146
Não,B,Bl UniPpFdrPsdbCid...,,2352476-146
Não,P,PSB,36832.0,2352476-146
Sim,B,Fdr PSOL-REDE,,2352476-146
,B,Bl UniPpFdrPsdbCid...,,2448947-5
Sim,P,PL,37906.0,2448947-5
Não,B,Fdr PSOL-REDE,,2448947-5
,B,Oposição,,2448947-5
Não,P,NOVO,37901.0,2448947-5
,B,Governo,,2448947-5
Sim,B,Bl MdbPsdRepPode,,2448947-5
,B,Maioria,,2448947-5
Sim,P,PSB,36832.0,2448947-5
Sim,B,Fdr PT-PCdoB-PV,,2448947-5
,B,Minoria,,2448947-5
Sim,B,Bl UniPpFdrPsdbCid...,,2352476-149
Não,B,Minoria,,2352476-149
Sim,P,PSB,36832.0,2352476-149
Sim,B,Bl MdbPsdRepPode,,2352476-149
,B,Governo,,2352476-149
Sim,B,Fdr PT-PCdoB-PV,,2352476-149
Não,B,Fdr PSOL-REDE,,2352476-149
Sim,B,Maioria,,2352476-149
Não,P,NOVO,37901.0,2352476-149
Não,B,Oposição,,2352476-149
Sim,P,PL,37906.0,2352476-149
,B,Maioria,,2352476-171
Sim,B,Fdr PT-PCdoB-PV,,2352476-171
Sim,B,Oposição,,2352476-171
,B,Governo,,2352476-171
Sim,B,Bl MdbPsdRepPode,,2352476-171
Sim,B,Minoria,,2352476-171
Sim,P,PL,37906.0,2352476-171
Sim,P,NOVO,37901.0,2352476-171
Não,B,Fdr PSOL-REDE,,2352476-171
Sim,P,PSB,36832.0,2352476-171
Sim,B,Bl UniPpFdrPsdbCid...,,2352476-171
Não,P,PSB,36832.0,2352476-141
Sim,P,NOVO,37901.0,2352476-141
,B,Governo,,2352476-141
Não,B,Bl MdbPsdRepPode,,2352476-141
Não,B,Fdr PT-PCdoB-PV,,2352476-141
Não,B,Bl UniPpFdrPsdbCid...,,2352476-141
Sim,B,Fdr PSOL-REDE,,2352476-141
Liberado,B,Minoria,,2352476-141
Sim,B,Oposição,,2352476-141
Não,B,Maioria,,2352476-141
Não,P,PL,37906.0,2352476-141
Sim,P,PL,37906.0,2352476-155
Sim,B,Bl UniPpFdrPsdbCid...,,2352476-155
Não,B,Fdr PSOL-REDE,,2352476-155
,B,Governo,,2352476-155
Sim,P,PSB,36832.0,2352476-155
Sim,B,Oposição,,2352476-155
Sim,B,Minoria,,2352476-155
Sim,B,Bl MdbPsdRepPode,,2352476-155
,B,Maioria,,2352476-155
Sim,P,NOVO,37901.0,2352476-155
Sim,B,Fdr PT-PCdoB-PV,,2352476-155
,B,Minoria,,2352476-136
Não,B,Maioria,,2352476-136
Não,P,PSB,36832.0,2352476-136
Não,B,Bl MdbPsdRepPode,,2352476-136
Liberado,B,Oposição,,2352476-136
Não,P,PL,37906.0,2352476-136
Não,B,Fdr PT-PCdoB-PV,,2352476-136
Sim,P,NOVO,37901.0,2352476-136
Sim,B,Fdr PSOL-REDE,,2352476-136
,B,Governo,,2352476-136
Não,B,Bl UniPpFdrPsdbCid...,,2352476-136
Sim,P,PSB,36832.0,2352476-62
Sim,P,PL,37906.0,2352476-62
Sim,B,Governo,,2352476-62
Sim,P,PP,37903.0,2352476-62
Não,P,NOVO,37901.0,2352476-62
Sim,P,PODE,36896.0,2352476-62
Sim,P,MDB,36899.0,2352476-62
Sim,P,REPUBLICANOS,37908.0,2352476-62
Sim,P,AVANTE,36898.0,2352476-62
Sim,B,Fdr PT-PCdoB-PV,,2352476-62
Não,B,Fdr PSOL-REDE,,2352476-62
Sim,P,PSD,36834.0,2352476-62
Sim,P,NOVO,37901.0,2352476-40
Não,P,PL,37906.0,2352476-40
Liberado,B,Governo,,2352476-40
Não,P,PP,37903.0,2352476-40
Liberado,P,PSB,36832.0,2352476-40
Liberado,B,Minoria,,2352476-40
Não,P,PSD,36834.0,2352476-40
Sim,B,Fdr PSOL-REDE,,2352476-40
Não,P,PODE,36896.0,2352476-40
Não,P,UNIÃO,38009.0,2352476-40
Não,B,Fdr PT-PCdoB-PV,,2352476-40
Não,P,MDB,36899.0,2352476-40
Sim,P,PDT,36786.0,2352476-40
Não,,Fdr PSDB-CIDADAN,,2352476-40
,B,Oposição,,2352476-165
Não,B,Bl MdbPsdRepPode,,2352476-165
Não,B,Fdr PT-PCdoB-PV,,2352476-165
,B,Maioria,,2352476-165
Sim,B,Fdr PSOL-REDE,,2352476-165
Não,P,PSB,36832.0,2352476-165
Sim,P,NOVO,37901.0,2352476-165
Não,P,PL,37906.0,2352476-165
Sim,B,Minoria,,2352476-165
,B,Governo,,2352476-165
Não,B,Bl UniPpFdrPsdbCid...,,2352476-165
Não,B,Fdr PT-PCdoB-PV,,2353243-47
Não,P,UNIÃO,38009.0,2353986-4
Não,B,Minoria,,2353986-4
Liberado,P,MDB,36899.0,2353986-4
Não,B,Fdr PT-PCdoB-PV,,2353986-4
Não,P,PP,37903.0,2353986-4
Não,P,PL,37906.0,2353986-4
Não,P,NOVO,37901.0,2353986-4
Liberado,B,Bl MdbPsdRepPodePsc,,2355135-49
Liberado,B,Maioria,,2355135-49
Não,B,Fdr PT-PCdoB-PV,,2355135-49
Sim,B,Minoria,,2355135-49
Sim,B,Oposição,,2355135-49
Sim,B,Bl UniPpFdrPsdbCid...,,2355135-49
Não,B,Fdr PSOL-REDE,,2355135-49
Não,B,Governo,,2355135-49
Sim,P,PL,37906.0,2355135-49
Sim,P,NOVO,37901.0,2355135-49
Sim,B,Governo,,2355135-39
Sim,B,Fdr PT-PCdoB-PV,,2355135-39
Sim,B,Fdr PSOL-REDE,,2355135-39
,B,Maioria,,2355135-39
Não,B,Bl UniPpFdrPsdbCid...,,2355135-39
Não,B,Oposição,,2355135-39
Não,P,NOVO,37901.0,2355135-39
Não,P,PL,37906.0,2355135-39
Liberado,B,Bl MdbPsdRepPodePsc,,2355135-39
Não,B,Minoria,,2355135-39
Liberado,B,Maioria,,2357871-9
Não,B,Governo,,2357871-9
Sim,B,Oposição,,2357871-9
Sim,P,NOVO,37901.0,2357871-9
Sim,B,Bl MdbPsdRepPodePsc,,2357871-9
Sim,P,PL,37906.0,2357871-9
Sim,B,Minoria,,2357871-9
Sim,B,Bl UniPpFdrPsdbCid...,,2357871-9
Não,B,Fdr PT-PCdoB-PV,,2357871-9
Não,B,Fdr PSOL-REDE,,2357871-9
Não,P,PP,37903.0,2355363-12
Não,P,UNIÃO,38009.0,2355363-12
Não,B,Fdr PT-PCdoB-PV,,2355363-12
Sim,P,PL,37906.0,2355363-12
Não,B,Governo,,2355363-12
Não,P,PDT,36786.0,2355363-12
Não,P,MDB,36899.0,2355363-12
Não,P,PL,37906.0,2355510-35
Não,B,Fdr PT-PCdoB-PV,,2355510-35
Não,B,Bl MdbPsdRepPode,,2355510-35
Liberado,B,Oposição,,2355510-35
Não,B,Fdr PSOL-REDE,,2355510-35
Não,B,Maioria,,2355510-35
Sim,P,NOVO,37901.0,2355510-35
,B,Governo,,2355510-35
Não,B,Bl UniPpFdrPsdbCid...,,2355510-35
Liberado,B,Minoria,,2355510-35
Sim,B,Bl UniPpFdrPsdbCid...,,2355510-53
Sim,B,Minoria,,2355510-53
Liberado,B,Oposição,,2355510-53
,B,Governo,,2355510-53
Sim,B,Fdr PT-PCdoB-PV,,2355510-53
Sim,B,Fdr PSOL-REDE,,2355510-53
Sim,B,Bl MdbPsdRepPode,,2355510-53
Sim,P,PL,37906.0,2355510-53
Sim,B,Maioria,,2355510-53
Não,P,NOVO,37901.0,2355510-53
Liberado,B,Oposição,,2355765-31
Não,P,PODE,36896.0,2355765-31
Liberado,B,Minoria,,2355765-31
Não,B,Governo,,2355765-31
Sim,P,NOVO,37901.0,2355765-31
Não,B,Maioria,,2355765-31
Não,P,PSD,36834.0,2355765-31
Liberado,P,PL,37906.0,2355765-31
Não,B,Fdr PT-PCdoB-PV,,2355765-31
Não,,Fdr PSDB-CIDADAN,,2355765-31
Não,P,AVANTE,36898.0,2355765-31
Não,P,SOLIDARIEDADE,37904.0,2355765-31
Sim,P,PL,37906.0,2380451-7
Sim,B,Maioria,,2380451-7
Sim,B,Fdr PT-PCdoB-PV,,2380451-7
Sim,B,Governo,,2380451-7
Não,P,NOVO,37901.0,2380451-7
Sim,B,Bl UniPpFdrPsdbCid...,,2380451-7
Sim,B,Fdr PSOL-REDE,,2380451-7
Sim,B,Oposição,,2380451-7
Sim,B,Bl MdbPsdRepPode,,2380451-7
Sim,B,Minoria,,2380451-7
Não,P,PL,37906.0,2377566-12
Não,P,NOVO,37901.0,2377566-12
Sim,B,Maioria,,2377566-12
Sim,B,Bl MdbPsdRepPode,,2377566-12
Sim,B,Governo,,2377566-12
Sim,B,Bl UniPpFdrPsdbCid...,,2377566-12
Sim,B,Fdr PT-PCdoB-PV,,2377566-12
Sim,B,Fdr PSOL-REDE,,2377566-12
Não,B,Oposição,,2377566-12
Não,B,Minoria,,2377566-12
Não,B,Fdr PT-PCdoB-PV,,2356599-40
Não,B,Governo,,2356599-40
Sim,P,PL,37906.0,2356599-40
Não,B,Maioria,,2356599-40
Sim,B,Oposição,,2356599-40
Não,P,PDT,36786.0,2356599-40
Sim,B,Minoria,,2356599-40
Não,B,Minoria,,2357053-110
Não,P,NOVO,37901.0,2357053-110
Sim,B,Fdr PSOL-REDE,,2357053-110
Não,B,Bl UniPpFdrPsdbCid...,,2357053-110
Não,P,PL,37906.0,2357053-110
Não,B,Maioria,,2357053-110
Não,B,Fdr PT-PCdoB-PV,,2357053-110
Não,B,Bl MdbPsdRepPode,,2357053-110
Não,B,Governo,,2357053-110
Não,B,Oposição,,2357053-110
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-105
Sim,B,Governo,,2357053-105
Não,P,PL,37906.0,2357053-105
Sim,B,Fdr PT-PCdoB-PV,,2357053-105
Não,B,Minoria,,2357053-105
Não,P,NOVO,37901.0,2357053-105
Sim,B,Fdr PSOL-REDE,,2357053-105
Sim,B,Bl MdbPsdRepPode,,2357053-105
Sim,B,Maioria,,2357053-105
Não,B,Oposição,,2357053-105
Não,B,Oposição,,2357053-119
Liberado,B,Fdr PT-PCdoB-PV,,2357053-119
Não,B,Bl MdbPsdRepPode,,2357053-119
Liberado,B,Bl UniPpFdrPsdbCid...,,2357053-119
Liberado,B,Maioria,,2357053-119
Sim,B,Fdr PSOL-REDE,,2357053-119
Não,P,NOVO,37901.0,2357053-119
Não,P,PL,37906.0,2357053-119
Liberado,B,Governo,,2357053-119
Não,B,Minoria,,2357053-119
Sim,B,Fdr PT-PCdoB-PV,,2357053-108
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-108
Sim,B,Maioria,,2357053-108
Liberado,P,PL,37906.0,2357053-108
Sim,B,Fdr PSOL-REDE,,2357053-108
Sim,B,Governo,,2357053-108
Não,B,Minoria,,2357053-108
Não,P,NOVO,37901.0,2357053-108
Sim,B,Bl MdbPsdRepPode,,2357053-108
,B,Oposição,,2357053-108
Não,B,Bl UniPpFdrPsdbCid...,,2357053-122
Sim,B,Bl MdbPsdRepPode,,2357053-122
Não,B,Minoria,,2357053-122
Não,P,NOVO,37901.0,2357053-122
Não,B,Fdr PT-PCdoB-PV,,2357053-122
Não,B,Oposição,,2357053-122
Não,B,Fdr PSOL-REDE,,2357053-122
Liberado,B,Governo,,2357053-122
Liberado,B,Maioria,,2357053-122
Sim,P,PL,37906.0,2357053-122
,B,Minoria,,2357053-53
Sim,P,NOVO,37901.0,2357053-53
Não,B,Fdr PSOL-REDE,,2357053-53
Sim,B,Maioria,,2357053-53
Sim,B,Governo,,2357053-53
Sim,B,Oposição,,2357053-53
Sim,P,PL,37906.0,2357053-53
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-53
Sim,B,Bl MdbPsdRepPodePsc,,2357053-53
Sim,B,Fdr PT-PCdoB-PV,,2357053-53
Sim,B,Fdr PT-PCdoB-PV,,2357053-65
Não,P,PL,37906.0,2357053-65
Liberado,B,Maioria,,2357053-65
Liberado,B,Bl UniPpFdrPsdbCid...,,2357053-65
Não,B,Oposição,,2357053-65
Não,B,Minoria,,2357053-65
Não,P,NOVO,37901.0,2357053-65
Sim,B,Fdr PSOL-REDE,,2357053-65
Sim,B,Bl MdbPsdRepPodePsc,,2357053-65
Sim,B,Governo,,2357053-65
Sim,B,Maioria,,2357053-47
Liberado,P,PL,37906.0,2357053-47
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-47
Não,P,NOVO,37901.0,2357053-47
Não,B,Minoria,,2357053-47
Sim,B,Bl MdbPsdRepPodePsc,,2357053-47
Não,B,Fdr PSOL-REDE,,2357053-47
Sim,B,Governo,,2357053-47
Sim,B,Fdr PT-PCdoB-PV,,2357053-47
Não,B,Oposição,,2357053-47
Não,B,Bl MdbPsdRepPodePsc,,2357053-30
Liberado,B,Fdr PSOL-REDE,,2357053-30
Não,B,Fdr PT-PCdoB-PV,,2357053-30
Não,B,Governo,,2357053-30
Sim,P,PL,37906.0,2357053-30
Sim,B,Oposição,,2357053-30
Não,B,Bl UniPpFdrPsdbCid...,,2357053-30
Sim,B,Minoria,,2357053-30
Não,B,Maioria,,2357053-30
Sim,P,NOVO,37901.0,2357053-30
Não,B,Minoria,,2357053-59
Sim,B,Governo,,2357053-59
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-59
Não,B,Oposição,,2357053-59
Não,P,PL,37906.0,2357053-59
Sim,B,Fdr PSOL-REDE,,2357053-59
Sim,B,Fdr PT-PCdoB-PV,,2357053-59
Sim,B,Bl MdbPsdRepPodePsc,,2357053-59
Sim,B,Maioria,,2357053-59
Não,P,NOVO,37901.0,2357053-59
Não,B,Fdr PT-PCdoB-PV,,2357053-70
Não,B,Governo,,2357053-70
Sim,P,NOVO,37901.0,2357053-70
Não,B,Fdr PSOL-REDE,,2357053-70
Não,B,Maioria,,2357053-70
Sim,B,Minoria,,2357053-70
Sim,B,Oposição,,2357053-70
Não,B,Bl MdbPsdRepPodePsc,,2357053-70
Sim,P,PL,37906.0,2357053-70
Não,B,Bl UniPpFdrPsdbCid...,,2357053-70
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-62
Não,B,Fdr PSOL-REDE,,2357053-62
Sim,B,Fdr PT-PCdoB-PV,,2357053-62
Liberado,B,Minoria,,2357053-62
Sim,B,Maioria,,2357053-62
Sim,B,Governo,,2357053-62
Não,P,PL,37906.0,2357053-62
Sim,P,NOVO,37901.0,2357053-62
Liberado,B,Oposição,,2357053-62
Liberado,B,Bl MdbPsdRepPodePsc,,2357053-62
Não,P,PL,37906.0,2362292-8
Sim,B,Fdr PT-PCdoB-PV,,2362292-8
Não,P,NOVO,37901.0,2362292-8
Sim,B,Bl MdbPsdRepPodePsc,,2362292-8
Não,B,Fdr PSOL-REDE,,2362292-8
Sim,B,Bl UniPpFdrPsdbCid...,,2362292-8
Não,B,Minoria,,2362292-8
Não,B,Oposição,,2362292-8
Sim,B,Maioria,,2362292-8
Sim,B,Governo,,2362292-8
Sim,B,Governo,,2357055-29
Não,P,NOVO,37901.0,2357055-29
Sim,B,Fdr PSOL-REDE,,2357055-29
Liberado,B,Oposição,,2357055-29
Sim,B,Maioria,,2357055-29
Não,B,Minoria,,2357055-29
Sim,B,Bl MdbPsdRepPodePsc,,2357055-29
Sim,B,Fdr PT-PCdoB-PV,,2357055-29
Liberado,B,Bl UniPpFdrPsdbCid...,,2357055-29
Sim,P,PL,37906.0,2357055-29
Não,B,Bl UniPpFdrPsdbCid...,,2357053-50
Não,B,Fdr PSOL-REDE,,2357053-50
Sim,P,PL,37906.0,2357053-50
Não,B,Governo,,2357053-50
Sim,B,Minoria,,2357053-50
Sim,B,Oposição,,2357053-50
Não,B,Bl MdbPsdRepPodePsc,,2357053-50
Não,B,Maioria,,2357053-50
Não,B,Fdr PT-PCdoB-PV,,2357053-50
Sim,P,NOVO,37901.0,2357053-50
,B,Governo,,2358527-8
Sim,B,Fdr PSOL-REDE,,2358527-8
Sim,B,Minoria,,2358527-8
,B,Oposição,,2358527-8
Liberado,B,Bl UniPpFdrPsdbCid...,,2358527-8
Sim,B,Bl MdbPsdRepPodePsc,,2358527-8
Sim,B,Fdr PT-PCdoB-PV,,2358527-8
Não,P,NOVO,37901.0,2358527-8
Sim,P,PL,37906.0,2358527-8
,B,Maioria,,2358527-8
Sim,B,Maioria,,2357053-38
Sim,B,Governo,,2357053-38
Não,P,PL,37906.0,2357053-38
Não,B,Oposição,,2357053-38
Sim,B,Fdr PT-PCdoB-PV,,2357053-38
Sim,B,Bl MdbPsdRepPodePsc,,2357053-38
Sim,B,Bl UniPpFdrPsdbCid...,,2357053-38
Não,B,Minoria,,2357053-38
Não,P,NOVO,37901.0,2357053-38
Liberado,B,Fdr PSOL-REDE,,2357053-38
Não,B,Fdr PSOL-REDE,,2357625-5
Não,P,PL,37906.0,2357625-5
Não,P,MDB,36899.0,2357625-5
Não,B,Fdr PT-PCdoB-PV,,2357625-5
Não,P,PP,37903.0,2357625-5
Não,P,PSD,36834.0,2357625-5
Não,P,PDT,36786.0,2357625-5
Não,B,Governo,,2357625-5
Liberado,B,Oposição,,2357639-9
,B,Governo,,2357639-9
Sim,B,Fdr PSOL-REDE,,2357639-9
Liberado,B,Bl UniPpFdrPsdbCid...,,2357639-9
Sim,P,PL,37906.0,2357639-9
Sim,B,Bl MdbPsdRepPodePsc,,2357639-9
,B,Maioria,,2357639-9
Não,P,NOVO,37901.0,2357639-9
Sim,B,Fdr PT-PCdoB-PV,,2357639-9
Sim,B,Minoria,,2357639-9
Sim,B,Maioria,,2406964-10
Sim,P,PL,37906.0,2406964-10
Sim,B,Bl MdbPsdRepPode,,2406964-10
,B,Governo,,2406964-10
Sim,B,Oposição,,2406964-10
Sim,P,NOVO,37901.0,2406964-10
Sim,B,Minoria,,2406964-10
Sim,B,Fdr PSOL-REDE,,2406964-10
Sim,B,Bl UniPpFdrPsdbCid...,,2406964-10
Sim,B,Fdr PT-PCdoB-PV,,2406964-10
Sim,B,Fdr PT-PCdoB-PV,,2358915-67
Sim,B,Fdr PSOL-REDE,,2358915-67
Obstrução,B,Oposição,,2358915-67
Sim,B,Bl MdbPsdRepPode,,2358915-67
Sim,B,Maioria,,2358915-67
Sim,B,Governo,,2358915-67
Obstrução,P,PL,37906.0,2358915-67
Obstrução,B,Minoria,,2358915-67
Obstrução,P,NOVO,37901.0,2358915-67
Sim,B,Bl UniPpFdrPsdbCid...,,2358915-67
Obstrução,B,Minoria,,2358915-39
Obstrução,P,NOVO,37901.0,2358915-39
Não,B,Fdr PT-PCdoB-PV,,2358915-39
Liberado,B,Bl MdbPsdRepPode,,2358915-39
Não,B,Governo,,2358915-39
Não,B,Fdr PSOL-REDE,,2358915-39
Obstrução,P,PL,37906.0,2358915-39
Obstrução,B,Oposição,,2358915-39
Não,B,Bl UniPpFdrPsdbCid...,,2358915-39
Não,B,Maioria,,2358915-39
Obstrução,P,NOVO,37901.0,2358915-53
Obstrução,B,Minoria,,2358915-53
Não,B,Fdr PT-PCdoB-PV,,2358915-53
Não,B,Bl MdbPsdRepPode,,2358915-53
Não,B,Governo,,2358915-53
Não,B,Fdr PSOL-REDE,,2358915-53
Não,B,Maioria,,2358915-53
Não,B,Bl UniPpFdrPsdbCid...,,2358915-53
Obstrução,B,Oposição,,2358915-53
Obstrução,P,PL,37906.0,2358915-53
Sim,B,Fdr PSOL-REDE,,2375543-9
Sim,B,Governo,,2375543-9
Não,B,Minoria,,2375543-9
Sim,B,Bl MdbPsdRepPodePsc,,2375543-9
Não,P,PL,37906.0,2375543-9
Sim,B,Fdr PT-PCdoB-PV,,2375543-9
Não,B,Oposição,,2375543-9
Sim,B,Maioria,,2375543-9
Não,P,NOVO,37901.0,2375543-9
Sim,B,Bl UniPpFdrPsdbCid...,,2375543-9
Liberado,B,Bl UniPpFdrPsdbCid...,,2358922-21
Sim,B,Maioria,,2358922-21
Sim,B,Fdr PT-PCdoB-PV,,2358922-21
Sim,B,Bl MdbPsdRepPodePsc,,2358922-21
Sim,P,NOVO,37901.0,2358922-21
Sim,B,Oposição,,2358922-21
Sim,B,Minoria,,2358922-21
Sim,B,Governo,,2358922-21
Não,B,Fdr PSOL-REDE,,2358922-21
Sim,P,PL,37906.0,2358922-21
Sim,B,Bl MdbPsdRepPode,,2359135-39
Sim,B,Minoria,,2359135-39
Sim,P,NOVO,37901.0,2359135-39
Sim,B,Oposição,,2359135-39
Sim,B,Fdr PT-PCdoB-PV,,2359135-39
Sim,P,PL,37906.0,2359135-39
Sim,B,Maioria,,2359135-39
Sim,B,Governo,,2359135-39
Sim,B,Fdr PSOL-REDE,,2359135-39
Sim,B,Bl UniPpFdrPsdbCid...,,2359135-39
Não,B,Fdr PT-PCdoB-PV,,2359135-28
Não,B,Maioria,,2359135-28
Não,P,NOVO,37901.0,2359135-28
Sim,B,Minoria,,2359135-28
Não,B,Fdr PSOL-REDE,,2359135-28
Sim,B,Oposição,,2359135-28
Não,B,Bl MdbPsdRepPode,,2359135-28
Não,B,Bl UniPpFdrPsdbCid...,,2359135-28
Não,B,Governo,,2359135-28
Sim,P,PL,37906.0,2359135-28
Sim,P,NOVO,37901.0,2382599-8
Sim,B,Fdr PSOL-REDE,,2382599-8
Sim,B,Fdr PT-PCdoB-PV,,2382599-8
Sim,P,PL,37906.0,2382599-8
Sim,B,Bl UniPpFdrPsdbCid...,,2382599-8
Sim,B,Maioria,,2382599-8
Sim,B,Bl MdbPsdRepPode,,2382599-8
Sim,B,Minoria,,2382599-8
Sim,B,Oposição,,2382599-8
Sim,B,Governo,,2382599-8
Sim,P,NOVO,37901.0,2360062-8
Liberado,B,Governo,,2360062-8
,B,Fdr PSOL-REDE,,2360062-8
Sim,B,Minoria,,2360062-8
Sim,B,Oposição,,2360062-8
Sim,B,Bl UniPpFdrPsdbCid...,,2360062-8
Não,B,Fdr PT-PCdoB-PV,,2360062-8
Sim,P,PL,37906.0,2360062-8
Liberado,B,Bl MdbPsdRepPode,,2360062-8
Liberado,B,Maioria,,2360062-8
Sim,B,Bl UniPpFdrPsdbCid...,,2413230-8
Sim,B,Governo,,2413230-8
Sim,B,Bl MdbPsdRepPode,,2413230-8
Sim,P,PL,37906.0,2413230-8
Sim,B,Minoria,,2413230-8
Sim,P,NOVO,37901.0,2413230-8
Sim,B,Oposição,,2413230-8
Sim,B,Maioria,,2413230-8
Sim,B,Fdr PSOL-REDE,,2413230-8
Sim,B,Fdr PT-PCdoB-PV,,2413230-8
Não,B,Governo,,2360457-42
Não,B,Fdr PSOL-REDE,,2360457-42
,B,Minoria,,2360457-42
,P,SOLIDARIEDADE,37904.0,2360457-42
Sim,B,Oposição,,2360457-42
Obstrução,P,NOVO,37901.0,2360457-42
,B,Bl PlFdrPTUniPp...,,2360457-42
Não,B,Maioria,,2360457-42
Sim,B,Maioria,,2360457-45
Sim,B,Fdr PSOL-REDE,,2360457-45
Não,B,Oposição,,2360457-45
Obstrução,P,NOVO,37901.0,2360457-45
Não,B,Minoria,,2360457-45
