numeroDoc,idDeputado,nomeDeputado,tipo_despesa,fornecedor,valor,data
635,136811,Afonso Hamm,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LIZIANE QUEVEDO,3090.0,2023-02-17T00:00:00
636,136811,Afonso Hamm,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LIZIANE QUEVEDO,5610.0,2023-02-17T00:00:00
1690,178835,Afonso Motta,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,NOVA IMPRESSAO GRAFICA E PAPELARIA LTDA,2090.0,2023-02-15T00:00:00
21,109429,Benes Leocádio,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ELDORADO COMUNICACAO E JORNALISMO LTDA,1500.0,2023-02-09T00:00:00
24,204507,Carla Zambelli,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,ALINE DA SILVA SANTOS NASCIMENTO 35683981840,2000.0,2023-02-10T00:00:00
380951,141411,Dagoberto Nogueira,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,AGUAS GUARIROBA / MS,125.68,2023-02-07T00:00:00
4480,204512,Delegado Marcelo Freitas,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,6093.3,2023-02-07T00:00:00
14075,143632,Domingos Neto,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,HPE AUTOMOTORES DO BRASIL LTDA,10760.0,2023-03-02T00:00:00
509,92699,Fernando Monteiro,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,PRIMAVIA RENT A CAR LOCADORA DE VEICULOS LTDA - EPP,4890.0,2023-03-27T00:00:00
570,204411,Filipe Barros,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",LEANDRO ROSA ADVOGADOS ASSOCIADOS,50000.0,2023-02-28T00:00:00
